City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
444,al kharijah,25.4514,30.5464,80.51,22,0,8.03,EG,1717300662
445,kavieng,-2.5744,150.7967,85.6,67,66,4.25,PG,1717300662
446,barsovo,61.1667,73.1667,41.13,59,52,10.96,RU,1717300662
447,prince george,53.9166,-122.753,53.04,91,0,2.3,CA,1717300649
448,namibe,-15.1961,12.1522,62.98,80,15,5.28,AO,1717300663
449,apolinario saravia,-24.4328,-63.9954,60.73,70,0,4.0,AR,1717300663
450,souillac,-20.5167,57.5167,71.98,83,75,12.66,MU,1717300663
451,naters,46.3254,7.9891,55.45,85,100,0.85,CH,1717300663
452,kapuskasing,49.4169,-82.4331,68.0,45,100,9.22,CA,1717300663
453,xai-xai,-25.0519,33.6442,63.86,86,0,4.52,MZ,1717300663
454,melekeok village,7.4957,134.6367,90.16,70,75,8.05,PW,1717300663
455,melfort,52.8667,-104.6177,55.53,41,17,4.61,CA,1717300664
456,sayyan,15.1718,44.3244,68.79,21,7,3.44,YE,1717300664
457,kinna,57.5073,12.6946,63.75,76,6,3.09,SE,1717300664
458,viedma,-40.8135,-62.9967,42.33,65,37,6.89,AR,1717300481
459,yuzhno-sukhokumsk,44.6581,45.6436,68.9,68,99,13.87,RU,1717300664
460,taltal,-25.4,-70.4833,63.9,67,14,3.15,CL,1717300664
461,floro,61.5996,5.0328,54.23,76,100,9.22,NO,1717300664
462,basudebpur,21.1353,86.7386,96.35,53,55,15.37,IN,1717300664
463,shendi,16.6915,33.4341,86.65,10,7,8.61,SD,1717300665
464,paraiso,9.8383,-83.8656,70.66,100,100,4.5,CR,1717300521
465,richfield,44.8833,-93.283,67.98,72,0,4.61,US,1717300492
466,cabedelo,-6.9811,-34.8339,74.07,85,18,11.03,BR,1717300665
467,fort bragg,35.139,-79.006,71.74,65,0,6.91,US,1717300665
468,darasun,51.6667,114.0,81.48,16,54,5.75,RU,1717300665
469,marsabit,2.3284,37.9899,63.52,86,97,15.01,KE,1717300665
470,mount pearl,47.5166,-52.7813,52.74,98,100,17.27,CA,1717300665
471,gasa,31.5,34.4667,71.65,79,0,6.02,PS,1717300611
472,hasaki,35.7333,140.8333,73.8,71,100,8.7,JP,1717300666
473,rio grande,-32.035,-52.0986,57.94,88,49,5.86,BR,1717300666
474,puerto lempira,15.2667,-83.7667,78.76,89,100,8.32,HN,1717300666
475,lashio,22.9333,97.75,77.97,84,98,3.42,MM,1717300666
476,tokar,18.4254,37.729,82.44,55,3,3.24,SD,1717300666
477,el calafate,-50.3408,-72.2768,31.71,86,81,3.94,AR,1717300666
478,north bend,43.4065,-124.2243,60.24,94,100,8.05,US,1717300666
479,belyy yar,53.6039,91.3903,58.89,44,0,4.47,RU,1717300667
480,sabha,27.0377,14.4283,82.17,36,3,13.18,LY,1717300667
481,cabo san lucas,22.8909,-109.9124,79.61,65,89,15.52,MX,1717300402
482,sitka,57.0531,-135.33,51.69,71,100,5.75,US,1717300667
483,sault ste. marie,46.5168,-84.3333,62.89,65,100,5.75,CA,1717300580
484,ulsteinvik,62.3432,5.8487,55.31,85,3,4.0,NO,1717300667
485,tonghae,37.5439,129.1069,59.85,82,96,4.92,KR,1717300667
486,castelli,-25.9468,-60.6195,66.38,62,98,6.96,AR,1717300667
487,narvik,68.4384,17.4272,51.39,96,100,4.18,NO,1717300668
488,brigantine,39.4101,-74.3646,67.01,71,0,4.61,US,1717300668
489,naraina,26.7833,75.2,97.57,28,0,12.28,IN,1717300668
490,ola,59.5833,151.2833,61.14,47,86,11.52,RU,1717300668
491,pancota,46.3333,21.7,61.02,87,8,5.66,RO,1717300668
492,prince rupert,54.3161,-130.3201,53.69,72,40,6.91,CA,1717300668
493,karacoban,39.3492,42.1124,55.27,69,0,3.65,TR,1717300668
494,istgah-e rah ahan-e garmsar,35.2346,52.3094,89.38,17,0,4.72,IR,1717300668
495,nagqu,31.5,92.0,50.11,56,100,13.31,CN,1717300669
496,puerto baquerizo moreno,-0.9,-89.6,70.27,87,87,8.14,EC,1717300669
497,gordonvale,-17.0936,145.7842,87.91,79,58,5.01,AU,1717300669
498,tanout,14.9709,8.8879,86.23,34,99,3.51,NE,1717300669
499,imbituba,-28.24,-48.6703,58.39,94,28,9.78,BR,1717300588
500,calama,-22.4667,-68.9333,48.69,10,0,18.41,CL,1717300412
501,oeiras do para,-2.0031,-49.8544,74.14,98,41,3.44,BR,1717300670
502,nova vicosa,-17.8919,-39.3719,75.76,71,79,14.09,BR,1717300670
503,la ronge,55.1001,-105.2842,44.85,70,75,11.5,CA,1717300670
504,general acha,-37.377,-64.6043,51.78,31,98,6.62,AR,1717300670
505,nikolayevsk-on-amure,53.1406,140.73,52.21,37,9,11.01,RU,1717300670
506,mukalla,14.5425,49.1242,84.27,81,1,3.22,YE,1717300670
507,popondetta,-8.7537,148.2534,87.24,64,42,6.44,PG,1717300671
508,vuktyl,63.8567,57.3094,46.98,59,78,5.35,RU,1717300671
509,onguday,50.75,86.15,63.34,39,5,3.49,RU,1717300671
510,achinsk,56.2694,90.4993,56.97,46,13,5.61,RU,1717300671
511,mareeba,-17.0,145.4333,83.44,61,34,1.92,AU,1717300671
512,chagoda,59.164,35.3285,64.98,82,95,3.89,RU,1717300671
513,dunbar,38.3606,-81.7374,67.57,85,100,1.01,US,1717300533
514,recani,31.2846,-4.2688,78.71,25,5,6.62,MA,1717300671
515,noosa heads,-26.3833,153.15,72.1,45,72,4.83,AU,1717300672
516,slave lake,55.2834,-114.769,58.98,55,0,6.91,CA,1717300596
517,saint-francois,46.4154,3.9054,54.84,95,100,6.91,FR,1717300672
518,kariya,34.9833,136.9833,75.69,81,99,2.37,JP,1717300672
519,cazorla,37.915,-3.0034,60.82,79,5,4.81,ES,1717300672
520,anisoc,1.8658,10.7689,70.88,99,100,1.25,GQ,1717300672
521,general conesa,-40.1,-64.4333,46.71,37,70,9.46,AR,1717300673
522,sanandaj,35.3144,46.9923,50.02,62,0,0.0,IR,1717300673
523,san pedro pochutla,15.7333,-96.4667,80.71,82,100,2.24,MX,1717300673
524,dahab,28.501,34.5134,84.45,32,0,12.24,EG,1717300673
525,tamanrasset,22.785,5.5228,71.51,23,0,0.0,DZ,1717300673
526,sena madureira,-9.0656,-68.6569,69.57,79,0,0.6,BR,1717300402
527,coari,-4.085,-63.1414,73.67,97,11,1.88,BR,1717300673
528,mapimi,25.8167,-103.85,82.99,30,23,7.47,MX,1717300674
529,cabinda,-5.55,12.2,75.34,88,0,4.61,AO,1717300674
530,santo antonio do ica,-3.1022,-67.9397,72.5,97,87,1.1,BR,1717300674
531,kornik,52.2477,17.0895,62.19,98,61,3.11,PL,1717300674
532,bodo,67.28,14.405,50.77,93,100,4.61,NO,1717300674
533,zinjibar,13.1287,45.3807,86.92,77,17,6.85,YE,1717300674
534,broome,42.2506,-75.833,60.67,70,93,1.83,US,1717300674
535,geraldton,-28.7667,114.6,70.21,43,96,19.57,AU,1717300512
536,nar'yan-mar,67.6713,53.087,32.16,88,84,4.52,RU,1717300641
